CP-1,CP-2,CP-3,Class
-7.582298278808594,-3.8317413330078125,-2.1264138221740723,Class 2
4.046257495880127,0.34943005442619324,0.5229166746139526,Class 2
-2.4210479259490967,0.7471392750740051,0.8382984399795532,Class -2
0.4208028018474579,-0.3611609637737274,0.8678451180458069,Class -2
-2.00203013420105,0.7732453346252441,0.6781245470046997,Class -2
-2.0686593055725098,0.42781591415405273,0.471778929233551,Class -2
-1.5979377031326294,0.7946494221687317,0.5360398292541504,Class -2
1.4886139631271362,1.973789930343628,-1.6063520908355713,Class 1
2.8842828273773193,0.9195743799209595,-0.48334676027297974,Class 1
-1.21070396900177,0.8148970603942871,0.41195908188819885,Class -2
-0.5644426941871643,-4.541854381561279,-0.6978194713592529,Class 1
-6.355788707733154,-3.8625130653381348,-1.668238639831543,Class 1
-0.888002336025238,0.8589525818824768,0.517092227935791,Class -1
4.904891014099121,-2.3435702323913574,0.8269913196563721,Class 1
2.451033592224121,1.2280375957489014,-0.9263638257980347,Class 1
-0.37536680698394775,0.8821008801460266,0.36666619777679443,Class -1
2.42679500579834,0.990462601184845,-0.13276450335979462,Class 1
2.823375940322876,0.9934937953948975,-0.4191930294036865,Class 1
-1.0996699333190918,0.8214259147644043,0.4329243004322052,Class -1
3.4624547958374023,0.635754406452179,0.02968529984354973,Class 1
-3.4168832302093506,-5.120473861694336,-5.781250476837158,Class 1
-0.6125350594520569,0.8481673002243042,0.3495347499847412,Class -1
-1.3082607984542847,1.2206755876541138,0.7209169864654541,Class -1
-1.6260350942611694,0.46091553568840027,0.369899719953537,Class -1
3.5347800254821777,0.64735347032547,0.05811486765742302,Class 1
-0.14336532354354858,0.865936815738678,0.1229211762547493,Class -1
0.9866231083869934,-4.068819046020508,0.9214663505554199,Class 1
-0.6466578245162964,0.268476277589798,-0.20424216985702515,Class 1
-1.6856472492218018,-5.3042497634887695,-1.344780445098877,Class 1
2.919922351837158,0.901032030582428,-0.3927631378173828,Class 1
-0.29117351770401,0.7823650240898132,0.3494134545326233,Class -1
-1.1767772436141968,0.4868321716785431,0.2607865333557129,Class -1
4.068633556365967,-1.1288169622421265,-0.4763307273387909,Class 1
