,Precision,Recall,F1-Score,lr,batch_size
MLP5,0.4154 (0.1407),0.5422 (0.1940),0.4676 (0.1582),0.0100,64.0000
MLP3,0.4932 (0.0221),0.6661 (0.0438),0.5651 (0.0035),0.0100,32.0000
MLP2,0.5114 (0.0217),0.6345 (0.0406),0.5648 (0.0053),0.0100,64.0000
